,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,sys.type,sys.id,message,rain.1h,snow.1h
0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,10000.0,1620917151.0,10800.0,541629.0,Krasnyy Luch,200,30.0903,57.0668,52.9,52.07,52.9,52.9,1011.0,89.0,1011.0,999.0,10.22,127.0,25.14,97.0,RU,1620870285.0,1620929241.0,,,,1.54,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1620917151.0,-9000.0,5895424.0,Bay Roberts,200,-53.2648,47.5999,48.13,43.38,45.14,49.89,1005.0,61.0,,,11.01,264.0,25.01,94.0,CA,1620892682.0,1620946854.0,2.0,2039882.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1620917151.0,3600.0,2638534.0,Sandwick,200,-1.25,60.0,48.25,42.22,48.25,48.25,1014.0,88.0,1014.0,1012.0,15.77,34.0,18.41,75.0,GB,1620876699.0,1620937870.0,1.0,1438.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1620917152.0,28800.0,1529484.0,Kumul,200,93.45,42.8,56.32,54.32,56.32,56.32,1014.0,57.0,1014.0,929.0,5.06,116.0,6.33,67.0,CN,1620858356.0,1620910757.0,,,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1620917152.0,-25200.0,5391692.0,San Benito,200,-121.0844,36.6166,40.42,40.42,36.79,42.57,1017.0,34.0,1017.0,900.0,2.84,252.0,2.8,22.0,US,1620910715.0,1620961375.0,1.0,3723.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1620917152.0,28800.0,1637001.0,Biak,200,122.8766,-0.9131,77.86,79.07,77.86,77.86,1009.0,79.0,1009.0,988.0,5.3,228.0,7.65,82.0,ID,1620855757.0,1620899231.0,,,,,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,9000.0,1620917153.0,19800.0,1244926.0,Hambantota,200,81.1185,6.1241,80.55,86.45,80.55,80.55,1007.0,86.0,1007.0,1006.0,12.82,250.0,18.43,90.0,LK,1620865214.0,1620909818.0,1.0,9124.0,,1.0,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1620917153.0,10800.0,58933.0,Garoowe,200,48.4845,8.4054,90.37,90.25,90.37,90.37,1007.0,37.0,1007.0,957.0,13.35,226.0,19.44,87.0,SO,1620872859.0,1620917837.0,,,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1620917153.0,0.0,3372745.0,Rabo de Peixe,200,-25.5833,37.8,69.82,69.78,69.82,69.82,1026.0,70.0,1026.0,1013.0,9.19,256.0,11.61,20.0,PT,1620887648.0,1620938601.0,1.0,6899.0,,,
0,"[{'id': 503, 'main': 'Rain', 'description': 'very heavy rain', 'icon': '10n'}]",stations,9975.0,1620917153.0,19800.0,1235846.0,Matara,200,80.5353,5.9485,79.38,79.38,79.38,79.38,1007.0,90.0,1007.0,1006.0,8.68,289.0,15.5,100.0,LK,1620865368.0,1620909943.0,,,,20.51,
